date,Close Price,Change From Prev Day
1/1/2017,997.69,29.46
1/2/2017,1018.05,20.36
1/3/2017,1030.82,12.77
1/4/2017,1129.87,99.05
1/5/2017,1005.81,-124.06
1/6/2017,895.67,-110.14
1/7/2017,905.17,9.5
1/8/2017,913.52,8.35
1/9/2017,899.35,-14.17
1/10/2017,904.79,5.44
1/11/2017,775.98,-128.81
1/12/2017,802.83,26.85
1/13/2017,826.12,23.29
1/14/2017,818.64,-7.48
1/15/2017,822.42,3.78
1/16/2017,830.26,7.84
1/17/2017,904.45,74.19
1/18/2017,884.25,-20.2
1/19/2017,898.02,13.77
1/20/2017,891.62,-6.4
1/21/2017,920.01,28.39
1/22/2017,925.33,5.32
1/23/2017,912.69,-12.64
1/24/2017,885.65,-27.04
1/25/2017,894.11,8.46
1/26/2017,915.1,20.99
1/27/2017,918.56,3.46
1/28/2017,920.28,1.72
1/29/2017,914.04,-6.24
1/30/2017,920.24,6.2
1/31/2017,967.67,47.43
2/1/2017,987.35,19.68
2/2/2017,1007.79,20.44
2/3/2017,1018.11,10.32
2/4/2017,1033.65,15.54
2/5/2017,1013.99,-19.66
2/6/2017,1024.61,10.62
2/7/2017,1052.54,27.93
2/8/2017,1054.34,1.8
2/9/2017,988.95,-65.39
2/10/2017,993.08,4.13
2/11/2017,1010,16.92
2/12/2017,999.51,-10.49
2/13/2017,996.86,-2.65
2/14/2017,1009.25,12.39
2/15/2017,1009.12,-0.13
2/16/2017,1034.08,24.96
2/17/2017,1053.12,19.04
2/18/2017,1058.41,5.29
2/19/2017,1052.82,-5.59
2/20/2017,1083.24,30.42
2/21/2017,1123.66,40.42
2/22/2017,1122.19,-1.47
2/23/2017,1178.38,56.19
2/24/2017,1180.92,2.54
2/25/2017,1151.58,-29.34
2/26/2017,1179.97,28.39
2/27/2017,1194.28,14.31
2/28/2017,1190.89,-3.39
3/1/2017,1230.02,39.13
3/2/2017,1260.92,30.9
3/3/2017,1290.79,29.87
3/4/2017,1267.68,-23.11
3/5/2017,1277.68,10
3/6/2017,1280.87,3.19
3/7/2017,1232.43,-48.44
3/8/2017,1150.48,-81.95
3/9/2017,1191.81,41.33
3/10/2017,1117.02,-74.79
3/11/2017,1181.64,64.62
3/12/2017,1229.5,47.86
3/13/2017,1243.24,13.74
3/14/2017,1246.31,3.07
3/15/2017,1259.6,13.29
3/16/2017,1172.91,-86.69
3/17/2017,1070.13,-102.78
3/18/2017,970.6,-99.53
3/19/2017,1017.8,47.2
3/20/2017,1041.34,23.54
3/21/2017,1115.04,73.7
3/22/2017,1037.44,-77.6
3/23/2017,1029.95,-7.49
3/24/2017,935.95,-94
3/25/2017,964.69,28.74
3/26/2017,965.23,0.54
3/27/2017,1040.49,75.26
3/28/2017,1044.25,3.76
3/29/2017,1040.39,-3.86
3/30/2017,1037.53,-2.86
3/31/2017,1079.75,42.22
4/1/2017,1089.51,9.76
4/2/2017,1098.78,9.27
4/3/2017,1147.63,48.85
4/4/2017,1143.75,-3.88
4/5/2017,1135,-8.75
4/6/2017,1190.6,55.6
4/7/2017,1193.02,2.42
4/8/2017,1184.82,-8.2
4/9/2017,1210.05,25.23
4/10/2017,1213.34,3.29
4/11/2017,1224.77,11.43
4/12/2017,1216.5,-8.27
4/13/2017,1178.53,-37.97
4/14/2017,1183.44,4.91
4/15/2017,1180.7,-2.74
4/16/2017,1184.79,4.09
4/17/2017,1203.73,18.94
